iter	Passed	Remaining
825	77918	63580
826	77984	63462
827	78053	63347
828	78119	63230
829	78183	63111
830	78254	62999
831	78324	62885
832	78405	62781
833	78495	62683
834	78588	62588
835	78675	62488
836	78736	62368
837	78803	62252
838	78865	62133
839	78939	62024
840	79016	61916
841	79090	61806
842	79151	61687
843	79206	61563
844	79290	61462
845	79399	61379
846	79467	61266
847	79535	61152
848	79609	61043
849	79681	60932
850	79754	60823
851	79852	60733
852	80050	60718
853	80124	60609
854	80186	60491
855	80239	60367
856	80317	60261
